country_name,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
Haiti,0.27175085292217677,0.17310773198226959,0.009921544230358802,-0.1558979975762028,0.01694282811114578,0.0930014505747699,-0.09754811949889777,-0.14302174087387812,-0.13594024836351323,-0.0667414988763817
Honduras,0.2686149853610115,-0.27474522144074914,0.44703093762405627,-0.33040569834522343,-0.008353168662730372,0.08421298817956083,-0.00591327528417552,0.09878916492593355,0.04384083498670366,0.03544573215067195
Hungary,0.030480094045301068,-0.01051535677758974,-0.02034554942890161,0.015328559283627835,0.027734045389089617,0.02937688219171869,-0.016304739472382247,0.036201175017704125,0.004205576059527753,-0.00034160464370923757
Iceland,0.11233137399285842,0.0013339320772087677,-0.014786208984406586,-0.017460191000007105,0.10850881990214525,0.10648442158084384,-0.06196651911315727,0.047096943211116474,0.004271281871284128,0.006474952366283811
India,-0.09358762195310544,0.02332058960539461,-0.0010258391604400735,-0.09090158311378878,0.12258275867307558,0.009285398012019127,0.15942134432708263,-0.10809220167014995,0.09186456300344974,-0.08828755372696011
Indonesia,0.04455075099556831,-0.028726845402081185,-0.00779424047889801,0.0169502227930343,0.05448547061482204,0.04555128150385781,0.005636904950250768,0.052099760027341104,-0.004448332802470314,0.00965133981092264
Iran (Islamic Republic of),0.10525872192337,-0.002324671865899346,0.006897646197041144,0.008423517535706016,0.10223571092917483,0.05237934309761435,0.06700223904780583,0.05889839440153917,-0.12323404690500507,0.05022814432403986
Iraq,0.10303077899075047,-0.0021673386980005233,-0.016151655020118977,-0.0020432465329722708,0.15477206269280563,0.02104204556944026,0.014549975688028701,0.06838942919239403,-0.06404836346115257,-0.029887396198995345
Ireland,-0.02856541276340846,-0.002111693341075211,-0.0032431184487133474,-0.011594365705499252,0.00638648149887882,-0.03197973570637055,-0.008450580815804201,0.011090389646452214,0.0016221244207460645,-0.005371429263174562
Israel,-0.20876381357566928,0.07002417427861951,-0.037772037254664576,-0.3170216706556345,0.045147330507014534,0.1186080832095869,-0.03967177668081345,0.15403175314052617,-0.1870051420663167,0.017369171078888107
Italy,0.1859184457315055,0.15169107559150027,0.02395694162373662,-0.14705924753347338,0.32728462755648224,0.20621323902756797,0.038844032486373394,-0.08497326961208199,0.0630406202182746,-0.01163189824475168
Jamaica,-0.31093393874652925,0.17003963635565894,-0.03158991609915556,-0.40614618763370275,0.09885196033370441,0.010294921549030512,-0.032884502002451216,-0.0016062894378377432,-0.11632761055608787,0.041540167801793565
Japan,-0.035325720312705484,0.05008363093122909,0.05036737469361582,-0.046633728419517476,0.2461804039583225,-0.14247772871353417,0.0011234506601414747,-0.022325311143512192,-0.018960234972011526,-0.01880762890072748
Jordan,-0.11758924886901445,0.5864942206145289,0.475953274447821,0.08600109772223485,0.30617044236377244,-0.04973983812558312,0.056992119664569386,0.041373235885404785,0.0008960774721696219,0.024484240141439816
Kazakhstan,0.3275644382951017,0.20161617495967757,-0.11844102856065986,-0.12461797137033918,0.2539284186920062,0.28548080124630576,-0.1323032670084784,-0.17543400403149412,0.12117094677753416,0.1190851693600171
Kenya,-0.04470847316966544,0.03569698914162946,-0.02303683188316487,-0.07826329752355551,0.07375344173063676,0.0798911203947201,0.1002914769271104,-0.11196135937861208,0.1460892077914874,-0.0733441557708967
Kiribati,-0.1452501538795193,0.02166027924975524,-0.03903502193394268,-0.14087443747997166,-0.060501560452650024,0.05055667104339876,-0.037272323136298115,0.04866270474161368,-0.05557298379196142,0.013688103534591349
Korea (Democratic Peopl,0.04868204233825137,-0.04512046999465906,-0.026296740588830775,0.036441202672210585,0.05593645689553343,0.011297402196216094,0.0017902524464186963,0.08120507661402557,-0.051697706327744626,-0.014421981360622995
Korea (Republic of),0.07722702812609267,-0.03214036983140307,0.003356035320771383,-0.006017250893240775,0.06914622027696898,0.038171758152484137,-0.00044799902908106913,0.1180264286794978,-0.04442098561661863,-0.03696765370799285
Kosovo,0.028549056247949414,-0.010997601103089363,-0.021174870331117104,0.023718477193673582,0.004753833026482469,0.0036003692453367405,-0.02666925726571742,-0.0028509570948939593,-0.0003682109392908481,0.010226096152633682
Kuwait,0.03234524918202271,-0.009547807479394111,0.002470412440515773,0.023195277694741098,0.0028531319094486176,-0.0067585641890500975,-0.00870701184782027,0.03446872537778804,-0.02209254110905157,-0.007668893115181259
Kyrgyzstan,0.21855788267191045,-0.006329412875008717,-0.058508168683136165,0.01784375566527447,0.22296135219514646,0.3133477645894156,-0.15432752692198395,0.03683186348065325,-0.044128242097105336,0.06714607021644764
